place_id,value,time,type,id,device_id
2,1.0,2016-06-16T11:08:14,movement,70034,1210115
2,1.0,2016-06-16T11:08:15,movement,70035,1210115
5,1.0,2016-06-16T11:08:09,movement,70036,1210143
5,1.0,2016-06-16T11:08:10,movement,70037,1210143
5,1.0,2016-06-16T11:08:16,movement,70038,1210143
5,1.0,2016-06-16T11:08:20,movement,70039,1210143
5,1.0,2016-06-16T11:08:21,movement,70040,1210143
2,1.0,2016-06-16T11:09:22,movement,70061,1210115
2,1.0,2016-06-16T11:09:23,movement,70062,1210115
2,1.0,2016-06-16T11:09:24,movement,70063,1210115
2,1.0,2016-06-16T11:10:08,movement,70068,1210115
2,1.0,2016-06-16T11:10:09,movement,70069,1210115
2,1.0,2016-06-16T11:10:15,movement,70070,1210115
2,1.0,2016-06-16T11:10:16,movement,70071,1210115
2,1.0,2016-06-16T11:10:59,movement,70072,1210115
2,1.0,2016-06-16T11:11,movement,70073,1210115
3,1.0,2016-06-16T11:11:10,movement,70074,1213099
3,0.0,2016-06-16T11:11:06,closed,70075,1210108
3,0.0,2016-06-16T11:11:06,closed,70076,1210108
3,1.0,2016-06-16T11:11:09,closed,70077,1210108
3,1.0,2016-06-16T11:11:14,movement,70078,1213099
3,1.0,2016-06-16T11:11:15,movement,70079,1213099
3,1.0,2016-06-16T11:11:19,movement,70080,1213099
3,1.0,2016-06-16T11:11:20,movement,70081,1213099
3,1.0,2016-06-16T11:11:21,movement,70082,1213099
4,0.0,2016-06-16T11:11:30,movement,70083,1213102
4,0.0,2016-06-16T11:11:31,movement,70084,1213102
2,1.0,2016-06-16T11:12:01,movement,70086,1210115
2,1.0,2016-06-16T11:12:02,movement,70087,1210115
3,1.0,2016-06-16T11:11:54,movement,70088,1213099
3,1.0,2016-06-16T11:11:55,movement,70089,1213099
3,1.0,2016-06-16T11:11:59,movement,70090,1213099
3,1.0,2016-06-16T11:12,movement,70091,1213099
3,1.0,2016-06-16T11:12:04,movement,70092,1213099
3,1.0,2016-06-16T11:12:05,movement,70093,1213099
3,1.0,2016-06-16T11:12:08,movement,70094,1213099
3,1.0,2016-06-16T11:12:09,movement,70095,1213099
3,1.0,2016-06-16T11:12:14,movement,70096,1213099
3,1.0,2016-06-16T11:12:15,movement,70097,1213099
2,1.0,2016-06-16T11:12:33,movement,70098,1210115
2,1.0,2016-06-16T11:12:34,movement,70099,1210115
5,1.0,2016-06-16T11:12:35,movement,70100,1210143
5,1.0,2016-06-16T11:12:36,movement,70101,1210143
5,1.0,2016-06-16T11:12:41,movement,70102,1210143
3,0.0,2016-06-16T11:12:37,closed,70103,1210108
3,1.0,2016-06-16T11:12:40,closed,70104,1210108
5,1.0,2016-06-16T11:12:45,movement,70105,1210143
5,1.0,2016-06-16T11:12:51,movement,70107,1210143
5,1.0,2016-06-16T11:12:55,movement,70108,1210143
5,1.0,2016-06-16T11:12:56,movement,70109,1210143
5,1.0,2016-06-16T11:13:01,movement,70110,1210143
5,1.0,2016-06-16T11:13:02,movement,70111,1210143
5,0.0,2016-06-16T11:13:18,closed,70112,1210111
2,1.0,2016-06-16T11:13:24,movement,70119,1210115
2,1.0,2016-06-16T11:13:25,movement,70120,1210115
2,1.0,2016-06-16T11:13:29,movement,70121,1210115
2,1.0,2016-06-16T11:13:30,movement,70122,1210115
5,1.0,2016-06-16T11:13:22,closed,70124,1210111
2,1.0,2016-06-16T11:13:54,movement,70127,1210115
2,1.0,2016-06-16T11:13:55,movement,70128,1210115
2,1.0,2016-06-16T11:14:01,movement,70129,1210115
2,1.0,2016-06-16T11:14:02,movement,70130,1210115
3,0.0,2016-06-16T11:14:11,closed,70131,1210108
3,0.0,2016-06-16T11:14:12,closed,70132,1210108
3,1.0,2016-06-16T11:14:15,closed,70133,1210108
3,1.0,2016-06-16T11:14:36,movement,70134,1213099
3,1.0,2016-06-16T11:14:37,movement,70135,1213099
3,1.0,2016-06-16T11:14:40,movement,70136,1213099
3,1.0,2016-06-16T11:14:41,movement,70137,1213099
3,1.0,2016-06-16T11:14:45,movement,70138,1213099
2,1.0,2016-06-16T11:14:50,movement,70148,1210115
3,1.0,2016-06-16T11:14:46,movement,70149,1213099
3,1.0,2016-06-16T11:14:52,movement,70150,1213099
3,1.0,2016-06-16T11:14:56,movement,70151,1213099
3,1.0,2016-06-16T11:14:57,movement,70152,1213099
3,1.0,2016-06-16T11:15:01,movement,70153,1213099
3,1.0,2016-06-16T11:15:02,movement,70154,1213099
3,1.0,2016-06-16T11:15:06,movement,70155,1213099
3,1.0,2016-06-16T11:15:07,movement,70156,1213099
3,1.0,2016-06-16T11:15:11,movement,70157,1213099
3,1.0,2016-06-16T11:15:12,movement,70158,1213099
3,1.0,2016-06-16T11:15:16,movement,70159,1213099
3,1.0,2016-06-16T11:15:17,movement,70160,1213099
3,1.0,2016-06-16T11:15:22,movement,70161,1213099
3,1.0,2016-06-16T11:15:23,movement,70162,1213099
3,1.0,2016-06-16T11:15:27,movement,70163,1213099
3,1.0,2016-06-16T11:15:29,movement,70164,1213099
3,1.0,2016-06-16T11:15:32,movement,70165,1213099
2,1.0,2016-06-16T11:15:35,movement,70171,1210115
2,1.0,2016-06-16T11:15:36,movement,70172,1210115
2,1.0,2016-06-16T11:15:43,movement,70173,1210115
3,1.0,2016-06-16T11:15:33,movement,70174,1213099
3,1.0,2016-06-16T11:15:36,movement,70175,1213099
3,1.0,2016-06-16T11:15:37,movement,70176,1213099
3,1.0,2016-06-16T11:15:38,movement,70177,1213099
3,1.0,2016-06-16T11:15:41,movement,70178,1213099
3,1.0,2016-06-16T11:15:47,movement,70179,1213099
3,1.0,2016-06-16T11:15:48,movement,70180,1213099
3,1.0,2016-06-16T11:15:52,movement,70181,1213099
3,1.0,2016-06-16T11:15:53,movement,70182,1213099
3,1.0,2016-06-16T11:15:58,movement,70183,1213099
2,1.0,2016-06-16T11:16:16,movement,70189,1210115
2,1.0,2016-06-16T11:16:17,movement,70190,1210115
2,1.0,2016-06-16T11:16:21,movement,70191,1210115
2,1.0,2016-06-16T11:16:22,movement,70192,1210115
3,1.0,2016-06-16T11:15:59,movement,70193,1213099
3,1.0,2016-06-16T11:16:04,movement,70194,1213099
3,1.0,2016-06-16T11:16:05,movement,70195,1213099
3,1.0,2016-06-16T11:16:09,movement,70196,1213099
3,1.0,2016-06-16T11:16:10,movement,70197,1213099
3,1.0,2016-06-16T11:16:14,movement,70198,1213099
3,1.0,2016-06-16T11:16:15,movement,70199,1213099
3,1.0,2016-06-16T11:16:19,movement,70200,1213099
3,1.0,2016-06-16T11:16:20,movement,70201,1213099
3,1.0,2016-06-16T11:16:24,movement,70202,1213099
3,1.0,2016-06-16T11:16:29,movement,70203,1213099
3,1.0,2016-06-16T11:16:30,movement,70204,1213099
2,1.0,2016-06-16T11:16:36,movement,70209,1210115
2,1.0,2016-06-16T11:16:47,movement,70210,1210115
2,1.0,2016-06-16T11:16:52,movement,70211,1210115
3,1.0,2016-06-16T11:16:34,movement,70212,1213099
3,1.0,2016-06-16T11:16:49,movement,70213,1213099
3,1.0,2016-06-16T11:16:50,movement,70214,1213099
2,1.0,2016-06-16T11:16:56,movement,70217,1210115
2,1.0,2016-06-16T11:17:04,movement,70218,1210115
2,1.0,2016-06-16T11:17:05,movement,70219,1210115
2,1.0,2016-06-16T11:17:11,movement,70220,1210115
2,1.0,2016-06-16T11:17:12,movement,70221,1210115
3,1.0,2016-06-16T11:16:54,movement,70222,1213099
3,1.0,2016-06-16T11:16:58,movement,70223,1213099
2,1.0,2016-06-16T11:17:18,movement,70226,1210115
2,1.0,2016-06-16T11:17:19,movement,70227,1210115
2,1.0,2016-06-16T11:17:23,movement,70228,1210115
2,1.0,2016-06-16T11:17:24,movement,70229,1210115
2,1.0,2016-06-16T11:17:33,movement,70230,1210115
2,1.0,2016-06-16T11:17:34,movement,70231,1210115
5,0.0,2016-06-16T11:17:33,movement,70232,1210143
2,1.0,2016-06-16T11:17:40,movement,70233,1210115
2,1.0,2016-06-16T11:17:41,movement,70234,1210115
2,1.0,2016-06-16T11:17:44,movement,70235,1210115
2,1.0,2016-06-16T11:17:45,movement,70236,1210115
2,1.0,2016-06-16T11:17:50,movement,70237,1210115
2,1.0,2016-06-16T11:17:51,movement,70238,1210115
3,0.0,2016-06-16T11:17:38,closed,70239,1210108
3,1.0,2016-06-16T11:17:42,closed,70240,1210108
2,1.0,2016-06-16T11:18:09,movement,70247,1210115
2,1.0,2016-06-16T11:18:10,movement,70249,1210115
2,1.0,2016-06-16T11:18:21,movement,70253,1210115
2,1.0,2016-06-16T11:18:22,movement,70254,1210115
2,1.0,2016-06-16T11:18:26,movement,70255,1210115
2,1.0,2016-06-16T11:18:27,movement,70256,1210115
2,1.0,2016-06-16T11:18:31,movement,70257,1210115
2,1.0,2016-06-16T11:18:31,movement,70258,1210115
2,1.0,2016-06-17T10:46:32,movement,81455,1210115
2,1.0,2016-06-17T10:46:33,movement,81456,1210115
2,1.0,2016-06-17T10:46:36,movement,81457,1210115
2,1.0,2016-06-17T10:46:37,movement,81458,1210115
2,1.0,2016-06-16T11:19:56,movement,70259,1210115
2,1.0,2016-06-16T11:19:57,movement,70260,1210115
2,1.0,2016-06-16T11:20:02,movement,70261,1210115
2,1.0,2016-06-16T11:20:03,movement,70262,1210115
2,1.0,2016-06-16T11:20:07,movement,70263,1210115
2,1.0,2016-06-16T11:20:08,movement,70264,1210115
2,1.0,2016-06-16T11:19:56,closed,70265,1210110
2,1.0,2016-06-16T11:19:56,closed,70266,1210110
2,1.0,2016-06-16T11:20:41,movement,70267,1210115
2,1.0,2016-06-16T11:20:41,movement,70268,1210115
2,1.0,2016-06-16T11:20:42,movement,70269,1210115
2,1.0,2016-06-16T11:20:47,movement,70270,1210115
2,1.0,2016-06-16T11:20:48,movement,70271,1210115
2,1.0,2016-06-16T11:20:52,movement,70272,1210115
2,1.0,2016-06-16T11:20:53,movement,70273,1210115
2,1.0,2016-06-16T11:20:57,movement,70274,1210115
2,1.0,2016-06-16T11:20:58,movement,70275,1210115
2,1.0,2016-06-16T11:21:03,movement,70276,1210115
2,1.0,2016-06-16T11:21:04,movement,70277,1210115
2,1.0,2016-06-16T11:21:09,movement,70278,1210115
2,1.0,2016-06-16T11:21:10,movement,70279,1210115
2,1.0,2016-06-16T11:21:16,movement,70280,1210115
2,1.0,2016-06-16T11:21:17,movement,70281,1210115
2,1.0,2016-06-16T11:21:22,movement,70282,1210115
2,1.0,2016-06-16T11:21:24,movement,70283,1210115
2,1.0,2016-06-16T11:21:28,movement,70284,1210115
2,1.0,2016-06-16T11:21:29,movement,70285,1210115
2,1.0,2016-06-16T11:21:33,movement,70286,1210115
2,1.0,2016-06-16T11:21:34,movement,70287,1210115
2,1.0,2016-06-16T11:21:40,movement,70288,1210115
2,1.0,2016-06-16T11:21:40,movement,70289,1210115
3,0.0,2016-06-16T11:21:29,movement,70290,1213099
3,0.0,2016-06-16T11:21:30,movement,70291,1213099
2,1.0,2016-06-16T11:21:44,movement,70292,1210115
2,1.0,2016-06-16T11:21:45,movement,70293,1210115
2,0.0,2016-06-16T11:22:07,closed,70294,1210110
2,1.0,2016-06-16T11:22:08,closed,70295,1210110
2,1.0,2016-06-16T11:22:09,closed,70296,1210110
5,1.0,2016-06-16T11:23:08,movement,70298,1210143
5,1.0,2016-06-16T11:23:09,movement,70299,1210143
5,1.0,2016-06-16T11:23:14,movement,70300,1210143
5,0.0,2016-06-16T11:23:03,closed,70301,1210111
